season,round,race_name,circuit,date,constructor,grid,position,status
2001,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2001-03-04,Minardi,19,12,+2 Laps
2001,2,Malaysian Grand Prix,Sepang International Circuit,2001-03-18,Minardi,21,13,+3 Laps
2001,3,Brazilian Grand Prix,Autódromo José Carlos Pace,2001-04-01,Minardi,19,19,Electrical
2001,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,2001-04-15,Minardi,18,22,Brakes
2001,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2001-04-29,Minardi,18,13,+2 Laps
2001,6,Austrian Grand Prix,Red Bull Ring,2001-05-13,Minardi,18,15,Gearbox
2001,7,Monaco Grand Prix,Circuit de Monaco,2001-05-27,Minardi,18,13,Gearbox
2001,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2001-06-10,Minardi,22,19,Transmission
2001,9,European Grand Prix,Nürburgring,2001-06-24,Minardi,21,14,+2 Laps
2001,10,French Grand Prix,Circuit de Nevers Magny-Cours,2001-07-01,Minardi,21,17,Engine
2001,11,British Grand Prix,Silverstone Circuit,2001-07-15,Minardi,21,16,+3 Laps
2001,12,German Grand Prix,Hockenheimring,2001-07-29,Minardi,21,10,+1 Lap
2001,13,Hungarian Grand Prix,Hungaroring,2001-08-19,Minardi,18,18,Brakes
2001,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,2001-09-02,Minardi,20,22,Gearbox
2001,15,Italian Grand Prix,Autodromo Nazionale di Monza,2001-09-16,Minardi,21,13,+2 Laps
2001,16,United States Grand Prix,Indianapolis Motor Speedway,2001-09-30,Minardi,17,21,Driveshaft
2001,17,Japanese Grand Prix,Suzuka Circuit,2001-10-14,Minardi,18,11,+1 Lap
2003,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2003-03-09,Renault,10,7,Finished
2003,2,Malaysian Grand Prix,Sepang International Circuit,2003-03-23,Renault,1,3,Finished
2003,3,Brazilian Grand Prix,Autódromo José Carlos Pace,2003-04-06,Renault,10,3,Finished
2003,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,2003-04-20,Renault,8,6,Finished
2003,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2003-05-04,Renault,3,2,Finished
2003,6,Austrian Grand Prix,Red Bull Ring,2003-05-18,Renault,19,16,Engine
2003,7,Monaco Grand Prix,Circuit de Monaco,2003-06-01,Renault,8,5,Finished
2003,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2003-06-15,Renault,4,4,Finished
2003,9,European Grand Prix,Nürburgring,2003-06-29,Renault,8,4,Finished
2003,10,French Grand Prix,Circuit de Nevers Magny-Cours,2003-07-06,Renault,7,18,Engine
2003,11,British Grand Prix,Silverstone Circuit,2003-07-20,Renault,8,18,Gearbox
2003,12,German Grand Prix,Hockenheimring,2003-08-03,Renault,8,4,Finished
2003,13,Hungarian Grand Prix,Hungaroring,2003-08-24,Renault,1,1,Finished
2003,14,Italian Grand Prix,Autodromo Nazionale di Monza,2003-09-14,Renault,20,8,+1 Lap
2003,15,United States Grand Prix,Indianapolis Motor Speedway,2003-09-28,Renault,6,15,Engine
2003,16,Japanese Grand Prix,Suzuka Circuit,2003-10-12,Renault,5,18,Engine
2004,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2004-03-07,Renault,5,3,Finished
2004,2,Malaysian Grand Prix,Sepang International Circuit,2004-03-21,Renault,19,7,Finished
2004,3,Bahrain Grand Prix,Bahrain International Circuit,2004-04-04,Renault,16,6,Finished
2004,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,2004-04-25,Renault,6,4,Finished
2004,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2004-05-09,Renault,8,4,Finished
2004,6,Monaco Grand Prix,Circuit de Monaco,2004-05-23,Renault,3,12,Accident
2004,7,European Grand Prix,Nürburgring,2004-05-30,Renault,6,5,Finished
2004,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2004-06-13,Renault,5,13,Driveshaft
2004,9,United States Grand Prix,Indianapolis Motor Speedway,2004-06-20,Renault,9,16,Tyre
2004,10,French Grand Prix,Circuit de Nevers Magny-Cours,2004-07-04,Renault,1,2,Finished
2004,11,British Grand Prix,Silverstone Circuit,2004-07-11,Renault,16,10,Finished
2004,12,German Grand Prix,Hockenheimring,2004-07-25,Renault,5,3,Finished
2004,13,Hungarian Grand Prix,Hungaroring,2004-08-15,Renault,5,3,Finished
2004,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,2004-08-29,Renault,3,16,Engine
2004,15,Italian Grand Prix,Autodromo Nazionale di Monza,2004-09-12,Renault,4,16,Spun off
2004,16,Chinese Grand Prix,Shanghai International Circuit,2004-09-26,Renault,6,4,Finished
2004,17,Japanese Grand Prix,Suzuka Circuit,2004-10-10,Renault,11,5,Finished
2004,18,Brazilian Grand Prix,Autódromo José Carlos Pace,2004-10-24,Renault,8,4,Finished
2005,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2005-03-06,Renault,13,3,Finished
2005,2,Malaysian Grand Prix,Sepang International Circuit,2005-03-20,Renault,1,1,Finished
2005,3,Bahrain Grand Prix,Bahrain International Circuit,2005-04-03,Renault,1,1,Finished
2005,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,2005-04-24,Renault,2,1,Finished
2005,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2005-05-08,Renault,3,2,Finished
2005,6,Monaco Grand Prix,Circuit de Monaco,2005-05-22,Renault,2,4,Finished
2005,7,European Grand Prix,Nürburgring,2005-05-29,Renault,6,1,Finished
2005,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2005-06-12,Renault,3,17,Suspension
2005,9,United States Grand Prix,Indianapolis Motor Speedway,2005-06-19,Renault,6,11,Withdrew
2005,10,French Grand Prix,Circuit de Nevers Magny-Cours,2005-07-03,Renault,1,1,Finished
2005,11,British Grand Prix,Silverstone Circuit,2005-07-10,Renault,1,2,Finished
2005,12,German Grand Prix,Hockenheimring,2005-07-24,Renault,3,1,Finished
2005,13,Hungarian Grand Prix,Hungaroring,2005-07-31,Renault,6,11,+1 Lap
2005,14,Turkish Grand Prix,Istanbul Park,2005-08-21,Renault,3,2,Finished
2005,15,Italian Grand Prix,Autodromo Nazionale di Monza,2005-09-04,Renault,2,2,Finished
2005,16,Belgian Grand Prix,Circuit de Spa-Francorchamps,2005-09-11,Renault,4,2,Finished
2005,17,Brazilian Grand Prix,Autódromo José Carlos Pace,2005-09-25,Renault,1,3,Finished
2005,18,Japanese Grand Prix,Suzuka Circuit,2005-10-09,Renault,16,3,Finished
2005,19,Chinese Grand Prix,Shanghai International Circuit,2005-10-16,Renault,1,1,Finished
2006,1,Bahrain Grand Prix,Bahrain International Circuit,2006-03-12,Renault,4,1,Finished
2006,2,Malaysian Grand Prix,Sepang International Circuit,2006-03-19,Renault,7,2,Finished
2006,3,Australian Grand Prix,Albert Park Grand Prix Circuit,2006-04-02,Renault,3,1,Finished
2006,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,2006-04-23,Renault,5,2,Finished
2006,5,European Grand Prix,Nürburgring,2006-05-07,Renault,1,2,Finished
2006,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2006-05-14,Renault,1,1,Finished
2006,7,Monaco Grand Prix,Circuit de Monaco,2006-05-28,Renault,1,1,Finished
2006,8,British Grand Prix,Silverstone Circuit,2006-06-11,Renault,1,1,Finished
2006,9,Canadian Grand Prix,Circuit Gilles Villeneuve,2006-06-25,Renault,1,1,Finished
2006,10,United States Grand Prix,Indianapolis Motor Speedway,2006-07-02,Renault,5,5,Finished
2006,11,French Grand Prix,Circuit de Nevers Magny-Cours,2006-07-16,Renault,3,2,Finished
2006,12,German Grand Prix,Hockenheimring,2006-07-30,Renault,7,5,Finished
2006,13,Hungarian Grand Prix,Hungaroring,2006-08-06,Renault,15,14,Driveshaft
2006,14,Turkish Grand Prix,Istanbul Park,2006-08-27,Renault,3,2,Finished
2006,15,Italian Grand Prix,Autodromo Nazionale di Monza,2006-09-10,Renault,10,19,Engine
2006,16,Chinese Grand Prix,Shanghai International Circuit,2006-10-01,Renault,1,2,Finished
2006,17,Japanese Grand Prix,Suzuka Circuit,2006-10-08,Renault,5,1,Finished
2006,18,Brazilian Grand Prix,Autódromo José Carlos Pace,2006-10-22,Renault,4,2,Finished
2007,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2007-03-18,McLaren,2,2,Finished
2007,2,Malaysian Grand Prix,Sepang International Circuit,2007-04-08,McLaren,2,1,Finished
2007,3,Bahrain Grand Prix,Bahrain International Circuit,2007-04-15,McLaren,4,5,Finished
2007,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2007-05-13,McLaren,2,3,Finished
2007,5,Monaco Grand Prix,Circuit de Monaco,2007-05-27,McLaren,1,1,Finished
2007,6,Canadian Grand Prix,Circuit Gilles Villeneuve,2007-06-10,McLaren,2,7,Finished
2007,7,United States Grand Prix,Indianapolis Motor Speedway,2007-06-17,McLaren,2,2,Finished
2007,8,French Grand Prix,Circuit de Nevers Magny-Cours,2007-07-01,McLaren,10,7,Finished
2007,9,British Grand Prix,Silverstone Circuit,2007-07-08,McLaren,3,2,Finished
2007,10,European Grand Prix,Nürburgring,2007-07-22,McLaren,2,1,Finished
2007,11,Hungarian Grand Prix,Hungaroring,2007-08-05,McLaren,6,4,Finished
2007,12,Turkish Grand Prix,Istanbul Park,2007-08-26,McLaren,4,3,Finished
